Country/Region,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,11/1/21,12/1/21,1/1/22,2/1/22,3/1/22,4/1/22,5/1/22,6/1/22
Slovakia,0,0,400,1403,1522,2337,3989,10938,63080,124318,285079,439325,592135,710422,755233,771363,775066,776512,780075,805983,902044,1182562,1374354,1593001,2134795,2450101,2528216,2542773
Slovenia,0,0,841,1434,1473,2171,2924,5865,35649,77135,123950,166836,190324,216939,241309,254045,257358,259273,267962,294335,337108,423162,465711,722648,895174,970541,1010555,1025367
Solomon Islands,0,0,0,0,0,0,0,0,8,17,17,17,18,19,20,20,20,20,20,20,20,20,24,1486,7258,11470,15677,21237
Somalia,0,0,5,601,2023,3212,3310,3593,3941,4451,4714,4784,7392,11499,13915,14667,14946,15456,17466,19980,21998,23016,23532,26067,26351,26410,26485,26565
South Africa,0,0,1380,5951,34357,503290,628259,676084,726823,792299,1073887,1456309,1513959,1549451,1582842,1669231,1995556,2456184,2787203,2904307,2922222,2976613,3468079,3608307,3675691,3718953,3795763,3960424
South Sudan,0,0,0,45,994,2352,2527,2704,2926,3111,3558,3929,8010,10197,10583,10688,10846,11049,11446,12021,12410,12777,15242,16810,16978,17278,17461,17617
Spain,1,84,104118,215216,239638,288522,470973,778607,1185678,1656444,1928265,2822805,3204531,3291394,3524077,3682778,3821305,4447044,4861883,4961128,5011148,5174720,6294745,10039126,11036085,11551574,11896152,12360256
Sri Lanka,1,1,146,690,1643,2815,3092,3382,11060,24532,43856,64983,83552,92917,109862,189241,260972,311349,444130,518775,541639,564733,587596,612322,646948,661781,663373,663838
Sudan,0,0,7,442,5026,11644,13189,13653,13804,18254,25730,29449,30364,31833,33944,35512,36658,37138,37709,38283,40433,43229,46518,58208,61488,61955,62117,62374
Summer Olympics 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,264,811,865,865,865,865,865,865,865,865,865
Suriname,0,0,10,10,44,1760,4089,4891,5210,5319,6277,8449,8933,9122,10428,15128,21936,25402,29599,41631,49019,50882,52612,73956,78294,79229,79336,80547
Sweden,1,14,5320,22133,39309,77379,84521,93615,124355,260758,437379,566957,657309,813191,973604,1068473,1090553,1100040,1127917,1153655,1171512,1207498,1314784,2183910,2448182,2487852,2500917,2507948
Switzerland,0,27,17768,29705,30871,35412,42393,53832,154251,330874,452296,525095,557492,603092,659974,695496,703176,717665,782869,841573,877098,1025129,1332615,2253288,2818720,3507309,3619598,3674986
Syria,0,0,10,44,123,780,2830,4247,5789,7973,11526,14096,15642,19039,22818,24529,25551,25983,28045,34460,43666,48267,50310,51483,54664,55701,55813,55893
Taiwan*,10,40,329,429,443,474,488,515,558,679,802,912,955,1036,1132,8842,14853,15688,16001,16234,16417,16609,17050,18850,20533,23629,132955,2121231
Tajikistan,0,0,0,15,3930,7409,8583,9769,11017,12194,13665,13714,13714,13714,13714,13714,13929,15550,17252,17484,17486,17493,17493,17716,17786,17786,17786,17786
Tanzania,0,0,20,480,509,509,509,509,509,509,509,509,509,509,509,509,509,1017,1367,25846,26154,26270,29306,33230,33620,33815,33872,35354
Thailand,19,42,1771,2960,3082,3312,3417,3569,3784,4008,7163,19618,26031,28889,67044,162022,264834,615314,1219531,1615229,1920189,2120758,2226446,2456551,2934544,3684755,4262484,4457580
Timor-Leste,0,0,1,24,24,24,27,28,30,30,44,70,113,643,2276,7161,9278,10966,16941,19535,19790,19825,19839,20105,22693,22832,22871,22916
Togo,0,0,36,123,443,958,1416,1809,2357,2997,3662,5092,6933,10654,12992,13481,13962,15870,21561,25429,26079,26273,30163,36509,36806,36943,36989,37097
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,355,6546,10196,11742
Trinidad and Tobago,0,0,90,116,117,173,1797,4570,5704,6685,7158,7566,7716,8072,11072,24314,33029,38930,44957,50903,57419,72019,92201,112019,128145,138159,148335,161790
Tunisia,0,0,423,998,1084,1552,3963,18413,61115,96769,140557,210045,233669,255308,310734,346986,426879,595532,666168,707548,712776,717710,727843,917814,998230,1035884,1040193,1042872
Turkey,0,0,15679,122392,164769,231869,271705,320070,377473,668957,2220855,2485182,2711479,3357988,4849408,5256516,5430940,5747935,6412277,7182943,8061666,8818144,9519281,11722483,14149341,14873927,15033573,15072747
United States,8,32,223254,1111410,1806079,4601267,6084855,7286275,9235298,13825134,20370227,26463281,28797854,30639642,32500514,33396892,33791514,35144983,39573739,43681338,46149063,48721118,55024406,75425352,79102176,80143284,81379937,84460998
Uganda,0,0,44,85,457,1176,3037,8287,12743,21035,35511,39606,40367,40889,41905,47761,81034,94195,120075,123742,126236,127589,142604,161929,163342,163919,164084,164366
Ukraine,0,0,794,10861,24562,72609,126279,218625,407573,765117,1096855,1263833,1399934,1742710,2132742,2263167,2301221,2334433,2387052,2545904,3073125,3619223,3852397,4287117,5040518,5040518,5040518,5040518
United Arab Emirates,4,21,814,13038,35192,60760,70805,95348,133907,170149,209678,306339,394050,463759,521948,572804,634582,682377,719355,736268,739983,742109,764493,847142,880451,891588,898811,908647
United Kingdom,2,94,43398,182270,257579,303942,337168,460178,1034914,1643086,2542065,3835783,4182009,4350266,4418530,4490438,4828463,5880667,6825074,7841625,9097311,10276007,13100458,17428345,18985568,21216874,22038340,22305893
Uruguay,0,0,350,648,825,1278,1611,2061,3149,6024,19753,42128,58589,108188,200908,298006,370600,381569,385078,389025,394053,399966,414294,679878,844400,888639,897867,925777
Uzbekistan,0,0,181,2086,3702,24783,42127,57190,67156,73276,77182,78755,79926,83050,91250,100495,111153,130216,157136,174408,186244,193424,199030,224023,236501,237787,238596,239046
Vanuatu,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,4,4,4,4,4,6,6,7,7,18,3710,7507,9223
Venezuela,0,0,143,335,1662,19443,47756,76029,92325,102621,113884,127346,139545,161751,198865,235567,274024,306673,335233,368968,407866,432514,444828,485974,515124,520497,522434,523710
Vietnam,6,16,218,270,328,590,1044,1095,1180,1351,1474,1850,2448,2617,2942,7625,17727,157507,473530,797712,926720,1252590,1746092,2286750,3557629,9650663,10653526,10720426
West Bank and Gaza,0,0,134,353,449,12160,23281,40322,54060,88004,139223,159443,185336,244645,296462,308732,314288,316861,344957,405056,453782,460799,469748,535160,647203,655750,657060,657705
Winter Olympics 2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,524,535,535,535
Yemen,0,0,0,7,354,1730,1962,2039,2063,2077,2101,2122,2310,4531,6325,6751,6923,7070,7900,9111,9799,10006,10127,11061,11771,11806,11818,11822
Zambia,0,0,36,109,1089,6228,12381,14802,16480,17665,20997,55042,79002,88549,91670,95821,157832,196293,206522,209114,209739,210195,257948,305557,312970,316941,319733,321915
Zimbabwe,0,0,8,40,203,3659,6559,7850,8374,10129,14084,33548,36115,36896,38260,38998,51221,109546,124960,131028,133007,135337,214214,229851,236871,246414,247911,252874
